pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-04,88.1,-1.57,6.32,"Giolito, Lucas",669743,608337,field_out,hit_into_play,,,,,3,Alex Call flies out to right fielder Wilyer Abreu in foul territory.,R,R,R,WSH,BOS,X,9,fly_ball,2,2,2025,0.17,0.34,0.53,2.94,,660688,682928,1,8,Bot,188.97,145.21,,,,,4.759740329393793,-128.3509832,-2.884805461,1.0339468710170705,23.669459672550378,-28.07960782,3.46,1.75,206,88.8,58,88.8,1971,6.4,777245,665966,647351,666152,691785,596115,681987,678882,677800,54.05,0.011,0.011,0,1,0,0,3,74,5,Slider,1,11,1,11,11,1,1,11,Standard,Standard,151,0,-0.213,68.5,7,0.016,0.213,88.8,-10,-10,0.000865948,0.000865948,30,30,31,31,4,0,6,1,5,2,2.57,-0.17,-0.17,49.4,16.505646378079224,4.820971048784286,25.719631622952097,43.34198447537369,28.443597794456533
FF,2025-07-04,96.2,-1.42,6.38,"Giolito, Lucas",669743,608337,,ball,,,,,11,Ball,R,R,R,WSH,BOS,B,,,1,2,2025,-0.71,1.36,-0.82,3.71,,660688,682928,1,8,Bot,,,,,,,3.2238668842471125,-140.1559659,-4.654505934,-10.14006992,30.261183569274454,-13.38088915,3.5,1.56,,,,97.2,2292,6.7,777245,665966,647351,666152,691785,596115,681987,678882,677800,53.82,,,,,,,,74,4,4-Seam Fastball,1,11,1,11,11,1,1,11,Standard,Standard,200,0,0.043,,,,-0.043,,-10,-10,0.000865948,0.000865948,30,30,31,31,4,0,6,1,5,2,1.09,0.71,0.71,55.4,,,,,
FF,2025-07-04,95.4,-1.41,6.35,"Giolito, Lucas",669743,608337,,ball,,,,,12,Ball,R,R,R,WSH,BOS,B,,,0,2,2025,-0.61,1.18,0.16,4.45,,660688,682928,1,8,Bot,,,,,,,5.538626740296895,-138.8955552,-2.079194974,-9.051777828,30.03542336990295,-16.60035228,3.47,1.66,,,,96.2,2259,6.6,777245,665966,647351,666152,691785,596115,681987,678882,677800,53.88,,,,,,,,74,3,4-Seam Fastball,1,11,1,11,11,1,1,11,Standard,Standard,208,0,0.014,,,,-0.014,,-10,-10,0.000865948,0.000865948,30,30,31,31,4,0,6,1,5,2,1.31,0.61,0.61,53.8,,,,,
SL,2025-07-04,87.7,-1.51,6.37,"Giolito, Lucas",669743,608337,,foul,,,,,5,Foul,R,R,R,WSH,BOS,S,,,0,1,2025,0.17,0.42,-0.25,2.74,,660688,682928,1,8,Bot,,,,,,,2.7064531963218665,-127.7508144,-3.615053223,1.3832555407034135,23.322395703253402,-27.05312729,3.46,1.75,208,77,23,88.6,2054,6.5,777245,665966,647351,666152,691785,596115,681987,678882,677800,53.97,,,,,,,,74,2,Slider,1,11,1,11,11,1,1,11,Standard,Standard,203,0,-0.053,45.9,5.1,,0.053,88,-10,-10,0.000865948,0.000865948,30,30,31,31,4,0,6,1,5,2,2.51,-0.17,-0.17,53.5,-10.54211924,38.99500967224731,34.65543746699973,33.83941751300473,12.738191787610678
SL,2025-07-04,84.9,-1.71,5.71,"Cecconi, Slade",678009,677944,strikeout,swinging_strike,,,,,14,Parker Meadows strikes out swinging.,R,L,R,CLE,DET,S,2,,2,2,2025,0.54,0.21,0.29,1.09,,,,2,6,Top,,,,,,,3.609067339529265,-123.5834744,-4.964467716,4.893876797651054,23.63134576597132,-29.26565797,3.51,1.69,,,,85.5,2603,6.6,777249,666310,467793,682657,608070,682177,680757,666134,671286,53.94,,0,0,1,0,0,,48,5,Slider,1,2,2,1,2,1,2,1,Infield shade,Standard,59,0.003,-0.224,73.8,8.4,,0.224,,-1,1,0.383533271,0.616466729,26,25,26,26,3,2,6,1,5,2,2.94,-0.54,0.54,36.6,13.403895310279296,-20.82036649,35.52495749711482,36.255830409849494,42.955742556592725
FF,2025-07-04,93.4,-1.78,5.82,"Cecconi, Slade",678009,677944,,called_strike,,,,,7,Called Strike,R,L,R,CLE,DET,S,,,2,1,2025,-0.9,1.21,-0.54,2.05,,,,2,6,Top,,,,,,,5.191010296850405,-135.7818886,-6.612748418,-12.28529686,29.51699753094163,-15.97724238,3.61,1.69,,,,93.6,2306,6.4,777249,666310,467793,682657,608070,682177,680757,666134,671286,54.06,,,,,,,,48,4,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shade,Standard,221,-0.009,-0.073,,,,0.073,,-1,1,0.383533271,0.616466729,26,25,26,26,3,2,6,1,5,2,1.41,0.9,-0.9,40.3,,,,,
FF,2025-07-04,95.5,-1.5,6.31,"Giolito, Lucas",669743,608337,,called_strike,,,,,13,Called Strike,R,R,R,WSH,BOS,S,,,0,0,2025,-0.66,1.57,-1.05,2.03,,660688,682928,1,8,Bot,,,,,,,2.697089120823342,-138.8225877,-9.186252151,-9.104533437,33.43861806525226,-9.937152712,3.47,1.74,,,,95.8,2434,6.7,777245,665966,647351,666152,691785,596115,681987,678882,677800,53.81,,,,,,,,74,1,4-Seam Fastball,1,11,1,11,11,1,1,11,Standard,Standard,204,0,-0.033,,,,0.033,,-10,-10,0.000865948,0.000865948,30,30,31,31,4,0,6,1,5,2,0.95,0.66,0.66,53.9,,,,,
SL,2025-07-04,87.2,-1.67,6.33,"Giolito, Lucas",682928,608337,walk,ball,,,,,11,CJ Abrams walks. Keibert Ruiz to 2nd.,R,L,R,WSH,BOS,B,,,3,2,2025,0.27,0.42,-0.23,4.68,,,660688,1,8,Bot,,,,,,,2.9274075473079013,-127.0913259,1.3028110234025871,2.3604901132490217,25.270873085399995,-28.09973765,3.59,1.6,,,,87.8,2035,6.5,777245,665966,647351,666152,691785,596115,681987,678882,677800,53.96,,0.691497,0.7,1,0,0,,73,7,Slider,1,11,1,11,11,1,1,11,Infield shade,Standard,174,0.001,0.266,,,,-0.266,,-10,-10,0.000407063,0.000407063,30,24,31,25,4,3,6,1,5,1,2.56,-0.27,0.27,51.3,,,,,
CU,2025-07-04,75.9,-2.73,6.68,"Mikolas, Miles",664023,571945,field_out,hit_into_play,,,,,8,Ian Happ lines out to first baseman Willson Contreras.,R,L,R,CHC,STL,X,3,line_drive,0,1,2025,0.81,-1.16,-0.23,1.9,,,,2,6,Bot,164.24,164.54,,,,,3.758369397533955,-110.3836233,-0.733856266,5.761067616555872,22.361190355083227,-41.68468049,3.58,1.65,131,85.4,10,75,2685,6,777246,686780,575929,680977,571448,691026,663457,687363,676475,54.53,0.477,0.429,0,1,0,0,4,48,2,Curveball,8,1,8,1,1,8,8,1,Infield shade,Standard,40,0.001,-0.217,73.3,7.7,0.505,0.217,88,7,7,0.9917372283009793,0.9917372283009793,36,30,37,31,4,3,6,1,6,1,5.17,-0.81,0.81,45,19.859675182804626,-21.56250167,36.55532080564063,38.69868995072424,47.202800508744204
SL,2025-07-04,83.8,-1.65,5.75,"Cecconi, Slade",678009,677944,,swinging_strike,,,,,14,Swinging Strike,R,L,R,CLE,DET,S,,,2,0,2025,0.64,0.27,1.44,2.07,,,,2,6,Top,,,,,,,5.9361018400292425,-122.0588346,-2.694142956,5.330445045827668,22.115967282694424,-29.13941289,3.51,1.69,,,,84.6,2600,6.6,777249,666310,467793,682657,608070,682177,680757,666134,671286,53.93,,,,,,,,48,3,Slider,1,2,2,1,2,1,2,1,Infield shade,Standard,66,-0.009,-0.066,67.6,8.5,,0.066,,-1,1,0.383533271,0.616466729,26,25,26,26,3,2,6,1,5,2,2.95,-0.64,0.64,38.9,19.734473563921735,-45.55331692,29.257804974816096,23.41641952451493,56.25470843978269
FF,2025-07-04,93.2,-2.65,6.58,"Mikolas, Miles",664023,571945,,called_strike,,,,,9,Called Strike,R,L,R,CHC,STL,S,,,0,0,2025,-0.89,1.11,0.63,2.05,,,,2,6,Bot,,,,,,,10.326602559761378,-135.1813668,-8.22786257,-13.1663569,30.555030155341274,-16.83873357,3.7,1.73,,,,92.5,2314,6.1,777246,686780,575929,680977,571448,691026,663457,687363,676475,54.37,,,,,,,,48,1,4-Seam Fastball,8,1,8,1,1,8,8,1,Infield shade,Standard,221,0.001,-0.043,,,,0.043,,7,7,0.9917372283009793,0.9917372283009793,36,30,37,31,4,3,6,1,6,1,1.54,0.89,-0.89,40.7,,,,,
